"","userID","redesignedA","redesignedB","redesignedC","startedOnWebsite","transferredToAPS","transferredToRep","completedA","timeToCompleteA","usedHelpInA","transferredDuringA","completedB","timeToCompleteB","usedHelpInB","transferredDuringB","completedC","timeToCompleteC","usedHelpInC","transferredDuringC","satisfactionWithWebsite","satisfactionWithAPS","satisfactionWithRepresentative","previousWebsiteUser","previousPhoneUser","redesign","usedHelp","totalCompletionTime"
"1",31209,1,0,0,0,0,0,0,25.996160655389,0,0,0,25.2785354428722,0,0,0,25.6092186479778,0,0,-1,1,-1,0,0,1,0,76.883914746239
"2",158861,1,0,1,1,1,1,0,23.2820443779075,0,0,0,28.1801499878733,0,1,0,27.8445085122999,0,0,1,1,5,1,0,2,0,79.3067028780807
"3",180483,0,1,1,1,0,0,0,10.8502179610335,0,0,0,11.4949138708616,0,0,0,23.8074841537629,0,0,4,-1,-1,0,1,2,0,46.152615985658
"4",38318,1,1,0,1,0,0,0,18.1047809187305,0,0,0,10.1712260866937,1,0,0,16.4742724031723,0,0,5,-1,-1,0,1,2,1,44.7502794085965
"5",136663,0,0,1,1,0,0,0,5.16139237910774,0,0,0,25.4339633526313,0,0,0,6.18199867830605,0,0,1,-1,-1,0,0,1,0,36.7773544100451
"6",143915,0,0,0,1,1,1,0,27.2772253298137,0,0,0,31.5655309799686,0,1,0,23.3429475876327,0,0,4,1,4,0,0,0,0,82.185703897415
"7",157582,0,1,1,1,0,0,0,4.64486115269434,0,0,0,17.2576362546273,0,0,0,5.60372917754021,0,0,4,-1,-1,1,0,2,0,27.5062265848619
"8",142926,1,0,1,0,0,0,0,26.3549092048665,0,0,0,27.029565042817,0,0,0,27.4173832512038,0,0,-1,3,-1,1,0,2,0,80.8018574988873
"9",158102,0,0,0,1,1,0,0,8.29351793065055,0,0,0,16.6391211461598,0,1,0,18.6921454504511,0,0,2,1,-1,1,0,0,0,43.6247845272615
"10",10806,0,0,0,0,0,0,0,27.3079286760118,0,0,0,26.6906585051703,0,0,0,24.2763441165437,0,0,-1,1,-1,0,0,0,0,78.2749312977258
"11",132537,0,1,0,1,0,0,0,7.33898555966312,0,0,0,18.1197496725567,0,0,0,18.0845145624606,0,0,2,-1,-1,1,0,1,0,43.5432497946803
"12",106814,0,0,0,1,0,0,0,9.60563544203269,0,0,0,12.2654305549214,0,0,0,22.539231408129,0,0,1,-1,-1,1,0,0,0,44.4102974050831
"13",72834,0,0,1,1,0,0,0,8.87988976979445,0,0,0,28.3672938040174,1,0,0,9.37923941832365,0,0,4,-1,-1,1,0,1,1,46.6264229921355
"14",93174,0,0,1,0,0,0,0,22.3921957096968,0,0,0,26.7972314741225,0,0,0,28.5396922914894,0,0,-1,4,-1,1,0,1,0,77.7291194753087
"15",178041,0,1,0,1,0,0,0,10.9281031101151,0,0,0,20.7707768482209,1,0,0,6.73773417299486,0,0,5,-1,-1,1,0,1,1,38.4366141313308
"16",171094,0,0,0,1,0,0,0,6.22727752813824,0,0,0,19.6503557748419,0,0,0,26.2471087184831,0,0,1,-1,-1,0,0,0,0,52.1247420214633
"17",118236,1,0,0,1,0,0,0,27.0243854455158,0,0,0,21.7574216437826,0,0,0,25.9381247034111,0,0,1,-1,-1,1,0,1,0,74.7199317927095
"18",126379,1,1,0,1,0,0,0,23.7009958101213,1,0,0,18.1251499962924,1,0,0,5.77575012812305,0,0,1,-1,-1,1,0,2,2,47.6018959345368
"19",144583,0,1,0,1,0,0,0,6.38367955968054,0,0,0,20.5597624601692,0,0,0,15.5025858077956,0,0,1,-1,-1,1,0,1,0,42.4460278276453
"20",119835,1,1,0,1,1,1,0,25.964355134533,0,0,0,24.9581786710581,0,0,0,42.49363235186,1,1,1,2,4,1,0,2,1,93.4161661574512
"21",35864,1,1,0,1,1,0,0,13.9478645201222,0,0,0,15.927503773845,1,0,0,21.3345315479549,1,1,4,1,-1,0,1,2,2,51.209899841922
"22",120936,1,1,1,1,0,0,0,13.8358387046433,0,0,0,13.1621328476879,0,0,0,4.36656699692077,0,0,4,-1,-1,0,0,3,0,31.3645385492519
"23",172621,1,1,0,0,0,0,0,26.2934165130705,0,0,0,26.5082590373112,0,0,0,26.4606443784254,0,0,-1,1,-1,0,1,2,0,79.2623199288071
"24",116622,0,0,1,1,0,0,0,6.33325164580193,0,0,0,26.4852727681634,0,0,0,9.02202312371918,0,0,1,-1,-1,1,0,1,0,41.8405475376845
"25",79619,0,1,0,1,0,0,0,5.22873588612759,0,0,0,20.7624100758891,1,0,0,15.2807802966416,0,0,1,-1,-1,1,0,1,1,41.2719262586584
"26",4086,1,1,0,0,0,0,0,26.9960316546502,0,0,0,29.0429280153922,0,0,0,25.8745646807043,0,0,-1,1,-1,1,0,2,0,81.9135243507467
"27",120566,1,1,0,1,0,0,0,21.2904967592527,0,0,0,21.4913718771904,1,0,0,12.0461599335396,0,0,5,-1,-1,1,0,2,1,54.8280285699827
"28",1922,1,0,0,1,0,0,0,26.068631529651,1,0,0,25.2059569128151,0,0,0,23.5637727468292,0,0,5,-1,-1,1,0,1,1,74.8383611892952
"29",13307,1,1,0,0,0,0,0,24.0444926125421,0,0,0,27.6257465764016,0,0,0,27.8061218658877,0,0,-1,5,-1,1,0,2,0,79.4763610548313
"30",44262,1,0,1,1,1,0,0,15.7025165784038,1,0,0,27.1353210287673,1,1,0,34.5981861523694,0,0,1,1,-1,0,1,2,2,77.4360237595405
"31",135413,1,1,1,1,0,0,0,15.623694458986,1,0,0,11.661788375883,1,0,0,15.9885258532103,0,0,1,-1,-1,0,1,3,2,43.2740086880792
"32",94827,1,1,1,1,0,0,0,23.2237741489512,1,0,0,12.350454683845,0,0,0,8.76571677054082,0,0,5,-1,-1,1,0,3,1,44.339945603337
"33",36561,0,1,0,0,0,0,0,22.277616433968,0,0,0,34.0476600957726,0,0,0,24.008708091948,0,0,-1,2,-1,0,1,1,0,80.3339846216886
"34",10076,1,0,0,1,0,0,0,20.4727233944032,0,0,0,11.0254022179981,0,0,0,18.5350306766142,0,0,4,-1,-1,1,0,1,0,50.0331562890155
"35",187734,1,1,1,1,1,1,0,21.3744029438995,1,0,0,17.3852474376686,0,0,0,31.4787718838781,0,1,5,5,2,1,0,3,1,70.2384222654463
"36",100223,0,0,1,1,0,0,0,9.4113482709612,0,0,0,44.2839504218754,1,0,0,5.35546623383704,0,0,5,-1,-1,1,0,1,1,59.0507649266736
"37",7566,0,1,1,1,0,0,0,4.36159467497868,0,0,0,20.9201393932214,0,0,0,11.7961572863477,0,0,1,-1,-1,1,0,2,0,37.0778913545478
"38",69198,1,1,0,1,0,0,0,15.5291749743716,0,0,0,7.10506617406188,0,0,0,15.8100764226167,1,0,2,-1,-1,0,0,2,1,38.4443175710502
"39",132665,0,1,1,1,0,0,0,5.55487413414507,0,0,0,18.9612426901503,0,0,0,6.01223650110211,0,0,5,-1,-1,1,0,2,0,30.5283533253975
"40",134988,0,1,0,1,0,0,0,8.37800364812784,0,0,0,7.91519474007847,0,0,0,17.5664290495241,0,0,5,-1,-1,0,0,1,0,33.8596274377304
"41",123223,0,0,0,1,1,0,0,11.8245749341031,0,1,0,19.5844687191801,0,0,0,21.3379073073129,0,0,1,4,-1,1,0,0,0,52.7469509605961
"42",62371,0,0,1,1,0,0,0,7.12960965375068,0,0,0,7.74865605182182,0,0,0,11.4736584289453,0,0,4,-1,-1,1,0,1,0,26.3519241345178
"43",11367,0,1,0,1,0,0,0,14.3579947346629,0,0,0,18.0615074634177,0,0,0,26.5118870672647,1,0,1,-1,-1,1,0,1,1,58.9313892653453
"44",109952,0,0,1,1,1,1,0,7.05972771071506,1,0,0,28.2335428077082,0,1,0,35.0206968167854,1,1,1,1,4,1,0,1,2,70.3139673352086
"45",154514,1,0,0,1,0,0,0,30.3971755422298,0,0,0,5.51221887249081,0,0,0,14.0311794081733,0,0,2,-1,-1,1,0,1,0,49.9405738228939
"46",21575,1,0,1,1,0,0,0,20.3889668100106,0,0,0,17.1160752941338,0,0,0,11.0393935734862,1,0,5,-1,-1,1,0,2,1,48.5444356776307
"47",179028,1,1,0,1,0,0,0,22.0745507824573,1,0,0,19.0198979548556,1,0,0,13.3691942716717,0,0,5,-1,-1,1,0,2,2,54.4636430089846
"48",175306,1,1,0,0,0,0,0,32.4171805179479,0,0,0,29.0635485102373,0,0,0,23.1156844578875,0,0,-1,3,-1,1,0,2,0,84.5964134860727
"49",97256,0,0,0,1,0,0,0,8.09134030706965,0,0,0,18.6645129656516,1,0,0,16.4508542444865,0,0,3,-1,-1,1,0,0,1,43.2067075172078
"50",175695,0,0,0,1,1,0,0,16.1927609139728,0,0,0,23.5834090179124,1,1,0,23.6877996424511,0,0,1,5,-1,0,1,0,1,63.4639695743363
"51",191071,0,0,1,1,0,0,0,5.07899554601803,0,0,0,30.4823027436552,0,0,0,21.6210254199539,0,0,1,-1,-1,0,1,1,0,57.1823237096271
"52",93248,1,0,1,1,1,0,0,24.7000284814564,0,0,0,27.3603004714059,1,1,0,26.6180237744486,0,0,5,1,-1,1,0,2,1,78.678352727311
"53",12256,0,0,0,1,0,0,0,8.57107661805059,0,0,0,8.12918604764623,0,0,0,14.8875680839553,1,0,5,-1,-1,1,0,0,1,31.5878307496521
"54",139095,1,1,1,1,1,1,0,21.6409346965516,0,0,0,19.1067704231703,0,0,0,35.0869710821262,1,1,5,4,5,1,0,3,1,75.8346762018481
"55",52382,1,1,0,1,0,0,0,26.4569339694186,0,0,0,20.7405210616004,0,0,0,10.6521958866453,0,0,5,-1,-1,1,0,2,0,57.8496509176643
"56",59718,0,0,0,0,0,0,0,23.2315212790204,0,0,0,18.6507088693243,0,0,0,20.8599003065559,0,0,-1,5,-1,1,0,0,0,62.7421304549006
"57",127694,1,1,1,1,0,0,0,25.5010511884072,0,0,0,27.3633941755603,0,0,0,7.80286182846845,0,0,1,-1,-1,1,0,3,0,60.6673071924359
"58",68489,0,0,1,1,0,0,0,28.3432208825251,0,0,0,11.2391349198704,0,0,0,5.42443920616189,0,0,5,-1,-1,0,0,1,0,45.0067950085574
"59",77519,0,0,1,0,0,0,0,22.8722805605694,0,0,0,25.6221513191911,0,0,0,31.216375973309,0,0,-1,1,-1,1,0,1,0,79.7108078530695
"60",186126,0,1,0,1,0,0,0,5.32351100347471,0,0,0,11.4336374839221,0,0,0,19.5342379905798,1,0,5,-1,-1,1,0,1,1,36.2913864779766
"61",133996,1,0,0,0,0,0,0,23.7752325181454,0,0,0,26.4448493457805,0,0,0,29.9615010999233,0,0,-1,1,-1,1,0,1,0,80.1815829638492
"62",9886,0,0,0,1,1,1,0,9.4775648515622,0,0,0,19.6146074669913,1,1,0,23.8815936417209,0,0,1,1,4,1,0,0,1,52.9737659602743
"63",13898,0,1,1,0,0,0,0,21.731167769623,0,0,0,26.499915451174,0,0,0,29.9344673985445,0,0,-1,1,-1,1,0,2,0,78.1655506193415
"64",143239,0,0,1,1,1,1,0,12.4468794469383,0,0,0,30.8251256807702,0,1,0,28.882811880661,0,0,5,4,4,0,1,1,0,72.1548170083695
"65",97393,0,1,1,1,1,0,0,18.6530804555493,1,1,0,28.6253477147666,0,0,0,29.0530237878123,0,0,5,4,-1,1,0,2,1,76.3314519581282
"66",171096,0,0,1,1,0,0,0,5.45400178198569,0,0,0,14.8392622972517,0,0,0,9.89974669801083,0,0,4,-1,-1,1,0,1,0,30.1930107772482
"67",37867,1,0,1,1,0,0,0,21.2297812031509,0,0,0,10.9098288092173,0,0,0,11.0219649968212,1,0,5,-1,-1,1,0,2,1,43.1615750091894
"68",45200,1,0,0,1,1,1,0,21.9696832861856,0,0,0,31.259729221933,0,1,0,28.0082050780484,0,0,5,5,1,1,0,1,0,81.2376175861671
"69",39339,1,0,1,1,0,0,0,25.8018147648651,0,0,0,21.3638404517507,0,0,0,6.52250781477545,0,0,2,-1,-1,1,0,2,0,53.6881630313912
"70",11119,1,0,0,1,1,1,0,26.1079108373667,0,0,0,26.5863751994207,1,1,0,24.4785081007136,0,0,2,2,1,1,0,1,1,77.172794137501
"71",140276,0,0,0,1,0,0,0,7.23454555620896,1,0,0,23.8718116054205,0,0,0,17.5729367107573,0,0,1,-1,-1,0,0,0,1,48.6792938723868
"72",25641,0,1,0,0,0,0,0,23.817781918267,0,0,0,26.6943151974425,0,0,0,22.5610517017646,0,0,-1,1,-1,0,1,1,0,73.0731488174741
"73",43474,0,1,1,1,0,0,0,5.06189832346231,0,0,0,17.2265351642532,0,0,0,7.94912551751443,0,0,2,-1,-1,1,0,2,0,30.23755900523
"74",136579,0,1,1,1,1,1,0,37.1102463922772,0,1,0,27.6442453941706,0,0,0,29.7286702557274,0,0,3,4,3,1,0,2,0,94.4831620421752
"75",123832,1,0,0,1,0,0,0,12.6481133421097,0,0,0,23.6367067451569,0,0,0,4.99650466593489,0,0,5,-1,-1,0,1,1,0,41.2813247532015
"76",197621,1,0,1,1,0,0,0,25.1392454297519,0,0,0,32.5830514688609,0,0,0,10.4045791485498,0,0,1,-1,-1,1,0,2,0,68.1268760471627
"77",15789,0,1,1,1,0,0,0,5.60317159736589,0,0,0,20.4317374161177,0,0,0,8.36342339677854,0,0,3,-1,-1,1,0,2,0,34.3983324102622
"78",186034,1,1,1,0,0,0,0,20.7937560577402,0,0,0,26.0362201056796,0,0,0,32.4036686240991,0,0,-1,5,-1,1,0,3,0,79.2336447875189
"79",176922,1,0,0,1,0,0,0,23.3744976968805,1,0,0,7.60039596654318,1,0,0,8.58246652119423,0,0,4,-1,-1,1,0,1,2,39.5573601846179
"80",176551,0,0,1,1,1,0,0,5.59299780132032,0,0,0,10.6138461229924,0,0,0,22.3017695716985,0,1,1,3,-1,0,1,1,0,38.5086134960112
"81",57660,1,1,0,1,0,0,0,16.2742426034132,0,0,0,11.076649565126,0,0,0,16.4869489322704,0,0,5,-1,-1,0,0,2,0,43.8378411008096
"82",61766,0,0,1,0,0,0,0,29.7606624787119,0,0,0,28.4777508524636,0,0,0,26.1652955530694,0,0,-1,3,-1,0,1,1,0,84.4037088842449
"83",68279,0,0,1,1,1,0,0,15.4865087410508,0,0,0,21.1142961555493,0,1,0,28.6422704081508,0,0,1,1,-1,0,1,1,0,65.2430753047509
"84",55383,0,0,1,0,0,0,0,32.1483635918271,0,0,0,27.3709404919973,0,0,0,26.1692876944508,0,0,-1,1,-1,0,1,1,0,85.6885917782753
"85",194857,1,0,1,1,0,0,0,13.8149385168992,0,0,0,21.8429575248651,0,0,0,9.51454896689225,1,0,5,-1,-1,0,1,2,1,45.1724450086565
"86",143998,0,0,1,1,0,0,0,16.7643333232263,0,0,0,13.9840551662338,0,0,0,19.1743924526966,0,0,5,-1,-1,0,1,1,0,49.9227809421567
"87",86227,1,1,1,1,0,0,0,18.2403934980758,0,0,0,13.0069017867079,0,0,0,4.69556157647427,0,0,5,-1,-1,1,0,3,0,35.9428568612579
"88",54231,1,1,1,0,0,0,0,21.7133173861414,0,0,0,31.5040667624854,0,0,0,25.2418477314665,0,0,-1,1,-1,1,0,3,0,78.4592318800933
"89",119030,1,0,1,1,1,0,0,21.5216556685156,0,0,0,20.8506081409198,1,1,0,25.0133817015538,0,0,5,1,-1,1,0,2,1,67.3856455109893
